,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,spectral_type,index,temperature,radius,name,description,image,external_url,premium,price
114562,114562,114924,219623.0,8853.0,NN 4324,,,23.278405,53.213476,20.5044,111.7,-236.29,-25.3,5.58,4.021,F7V,0.556,12.06018,-2.305781,16.421224,5.34e-06,1.028e-05,-3.479e-05,6.094272280447711,0.9287503542953562,5.415368811e-07,-1.145566245e-06,,,Cas,1,114562,,2.1458531598843704,,,,F,926,5771.565709528854,1.478881770790438,HIP114924,"HIP114924 belongs to the Cas constellation. For more information, visit https://explorer.openstars.org/#view/hip-114924",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip114924.png,https://explorer.openstars.org/#view/hip-114924,0,0.11
79554,79554,79796,,,Gl 616.2,,,16.284821,55.269184,20.5339,83.89,-442.61,-32.6,9.87,8.308,M1.5Ve,1.251,-5.078201,-10.538756,16.875295,5e-08,-1.913e-05,-5.25e-05,4.2633560537142206,0.9646292299539788,4.067101966e-07,-2.145833831e-06,,,Dra,1,79554,,0.0413809064816725,CR,9.921,9.811,M,927,4009.5982259505577,0.4262048705130808,HIP79796,"HIP79796 belongs to the Dra constellation. For more information, visit https://explorer.openstars.org/#view/hip-79796",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip79796.png,https://explorer.openstars.org/#view/hip-79796,0,0.09
114586,114586,114948,219482.0,8843.0,GJ 1282,,,23.282659,-62.001198,20.5381,176.0,-26.12,-1.8,5.64,4.077,F7V,0.521,9.472157,-1.799996,-18.134254,1.7e-07,1.781e-05,4e-07,6.095385762130681,-1.0821250430416638,8.532720777e-07,-1.26633333e-07,,,Tuc,1,114586,,2.037980386287056,,,,F,928,5916.876245371536,1.3713392573337493,HIP114948,"HIP114948 belongs to the Tuc constellation. For more information, visit https://explorer.openstars.org/#view/hip-114948",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip114948.png,https://explorer.openstars.org/#view/hip-114948,0,0.11
46211,46211,46343,80768.0,,Gl 342,,,9.448266,75.934259,20.5465,-347.05,-95.7,-5.9,9.02,7.456,K2,1.203,-3.91994,3.09341,19.930414,1.53e-05,3.196e-05,-8.17e-06,2.4735502657235644,1.3253028422914448,-1.6825458783e-06,-4.63966692e-07,,,Dra,1,46211,,0.0906984781505791,,,,K,929,4089.2458766187824,0.6064495514496888,HIP46343,"HIP46343 belongs to the Dra constellation. For more information, visit https://explorer.openstars.org/#view/hip-46343",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip46343.png,https://explorer.openstars.org/#view/hip-46343,0,0.09
95881,95881,96183,184385.0,,,,,19.557098,21.840329,20.5592,-20.96,-204.81,10.0,6.89,5.325,G5V,0.745,7.565716,-17.519843,7.648494,4.86e-06,-1.652e-05,-1.514e-05,5.1200363648517095,0.3811856577146337,-1.016169474e-07,-9.92946899e-07,,,Vul,1,95881,,0.6456542290346552,,,,G,930,5117.5478829840295,1.0323088450904663,HIP96183,"HIP96183 belongs to the Vul constellation. For more information, visit https://explorer.openstars.org/#view/hip-96183",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip96183.png,https://explorer.openstars.org/#view/hip-96183,0,0.1
110303,110303,110649,212330.0,8531.0,Gl 857,,,22.415638,-57.797415,20.5634,180.71,-331.27,7.8,5.31,3.745,F9V,0.665,10.029346,-4.416161,-17.400173,-1.442e-05,2.603e-05,-2.435e-05,5.868400389934518,-1.0087551948699414,8.761068021e-07,-1.606042279e-06,,,Tuc,1,110303,,2.7669416454115106,,,,F,931,5370.719871324994,1.9391469282163094,HIP110649,"HIP110649 belongs to the Tuc constellation. For more information, visit https://explorer.openstars.org/#view/hip-110649",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip110649.png,https://explorer.openstars.org/#view/hip-110649,0,0.11
3411,3411,3418,,,Gl 30,,,0.725801,33.844567,20.5719,-203.0,-356.22,-34.7,8.73,7.164,K8,1.13,16.778253,3.227009,11.457179,-5.69e-06,-2.171e-05,-4.927e-05,0.1900142664969991,0.590699126721195,-9.841717715e-07,-1.727003292e-06,,,And,1,3411,,0.1186861384644919,,,,K,932,4218.304751251373,0.6518648853871468,HIP3418,"HIP3418 belongs to the And constellation. For more information, visit https://explorer.openstars.org/#view/hip-3418",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip3418.png,https://explorer.openstars.org/#view/hip-3418,0,0.1
93929,93929,94225,178445.0,,Gl 747.3,,,19.18119,-47.158618,20.5804,-54.56,-634.12,2.0,9.36,7.793,K7V,1.318,4.258806,-13.330307,-15.090364,-1.888e-05,4.121e-05,-4.452e-05,5.021623902499488,-0.8230731631294712,-2.645143441e-07,-3.074300511e-06,,,Tel,1,93929,,0.0664966857124675,,,,K,933,3904.662183539894,0.5695989411329265,HIP94225,"HIP94225 belongs to the Tel constellation. For more information, visit https://explorer.openstars.org/#view/hip-94225",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip94225.png,https://explorer.openstars.org/#view/hip-94225,0,0.09
75489,75489,75718,137763.0,,Gl 586A,,,15.469336,-9.348069,20.5846,72.69,-363.37,8.2,6.89,5.322,K2V,0.788,-12.493698,-16.014262,-3.343604,4.25e-06,-6.34e-06,-3.714e-05,4.049862783596813,-0.1631545895903712,3.524110643e-07,-1.761667471e-06,,,Lib,1,75489,Gl 586,0.6474407045688149,,,,K,934,4993.303289434666,1.0858181522001724,HIP75718,"HIP75718 belongs to the Lib constellation. For more information, visit https://explorer.openstars.org/#view/hip-75718",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip75718.png,https://explorer.openstars.org/#view/hip-75718,0,0.1
113242,113242,113602,,,NN 4308A,,,23.009275,-23.952863,20.6398,190.23,-345.1,0.0,11.56,9.986,M1,1.526,18.231383,-4.837652,-8.379448,-8.67e-06,2.199e-05,-3.156e-05,6.023814175784315,-0.4180563325550962,9.222610645e-07,-1.673092011e-06,,,Aqr,1,113242,NN 4308,0.0088226692821771,,11.658,11.458,M,935,3618.21789700761,0.24182680353542932,HIP113602,"HIP113602 belongs to the Aqr constellation. For more information, visit https://explorer.openstars.org/#view/hip-113602",https://raw.githubusercontent.com/openstars-org/stars-database/main/images/hip113602.png,https://explorer.openstars.org/#view/hip-113602,0,0.09
